model,reasoning_type,complexity,accuracy_mean,accuracy_stdev,score_mean,score_stdev,tokens_mean,tokens_stdev,time_mean,time_stdev,num_runs
gpt-5-nano,multihop,4,0.3333333333333333,0.15275252316519466,0.3333333333333333,0.15275252316519466,159967.33333333334,66764.39943812371,0.0,0.0,3
gpt-5-nano,hierarchical,1,0.6527777777777778,0.16839382851364088,0.6527777777777778,0.16839382851364088,1872.3333333333333,1075.098290080183,0.0,0.0,3
gpt-5-nano,hierarchical,2,0.5333333333333333,0.2516611478423584,0.5666666666666667,0.2516611478423583,5901.333333333333,367.568134273543,0.0,0.0,3
gpt-5-nano,hierarchical,3,0.7333333333333333,0.05773502691896263,0.7666666666666667,0.05773502691896263,8161.0,390.1384369682126,0.0,0.0,3
gpt-5-nano,hierarchical,4,0.5666666666666667,0.15275252316519464,0.65,0.13228756555322954,14778.0,1068.795116006805,0.0,0.0,3
gpt-5-nano,temporal,1,0.7111111111111111,0.2351778943168525,0.7111111111111111,0.2351778943168525,8734.0,1202.4179805708163,0.0,0.0,3
gpt-5-nano,temporal,2,0.6333333333333333,0.20816659994661327,0.6388888888888888,0.19883922409081423,8196.333333333334,2122.8745448879763,0.0,0.0,3
gpt-5-nano,temporal,3,0.5666666666666667,0.05773502691896256,0.5988888888888889,0.0856565060987024,8959.0,1614.8956622642838,0.0,0.0,3
gpt-5-nano,temporal,4,0.7666666666666667,0.23094010767585033,0.7833333333333333,0.24664414311581237,9100.333333333334,466.0003576536539,0.0,0.0,3
gpt-5-nano,weighted,1,0.9333333333333333,0.11547005383792512,0.9333333333333333,0.11547005383792512,4736.333333333333,1048.5544017042384,0.0,0.0,3
gpt-5-nano,weighted,2,0.5333333333333333,0.15275252316519464,0.6,0.09999999999999998,10313.333333333334,1426.0898756156055,0.0,0.0,3
gpt-5-nano,weighted,3,0.26666666666666666,0.20816659994661327,0.2833333333333333,0.23629078131263045,21695.666666666668,4533.019449917829,0.0,0.0,3
gpt-5-nano,weighted,4,0.5333333333333333,0.15275252316519464,0.5333333333333333,0.15275252316519464,46001.666666666664,16295.344652180062,0.0,0.0,3
gpt-5-nano,conflicting,1,0.43333333333333335,0.15275252316519466,0.43333333333333335,0.15275252316519466,17247.0,2028.1294337393756,0.0,0.0,3
gpt-5-nano,conflicting,2,0.3666666666666667,0.15275252316519466,0.3666666666666667,0.15275252316519466,17460.0,1256.1194210742863,0.0,0.0,3
gpt-5-nano,conflicting,3,0.26666666666666666,0.11547005383792516,0.26666666666666666,0.11547005383792516,23442.0,2662.944798526624,0.0,0.0,3
gpt-5-nano,conflicting,4,0.13333333333333333,0.11547005383792516,0.13333333333333333,0.11547005383792516,30714.666666666668,4826.922656655412,0.0,0.0,3
gpt-4o,multihop,1,1.0,0.0,1.0,0.0,4663.333333333333,3415.173397257207,0.0,0.0,3
gpt-4o,multihop,2,0.7333333333333333,0.2516611478423583,0.7666666666666666,0.2081665999466133,17694.0,6029.386618885871,0.0,0.0,3
gpt-4o,multihop,3,0.4666666666666667,0.32145502536643183,0.5,0.3464101615137754,83045.66666666667,12037.585735243314,0.0,0.0,3
gpt-4o,multihop,4,0.4,0.1,0.4,0.1,234377.33333333334,61065.52665238656,0.0,0.0,3
gpt-4o,hierarchical,1,1.0,0.0,1.0,0.0,2010.0,1266.0442330345334,0.0,0.0,3
gpt-4o,hierarchical,2,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,6566.0,870.6589458565277,0.0,0.0,3
gpt-4o,hierarchical,3,0.8666666666666667,0.1527525231651947,0.8666666666666667,0.1527525231651947,8598.333333333334,214.01946951932513,0.0,0.0,3
gpt-4o,hierarchical,4,0.9666666666666667,0.05773502691896256,0.9833333333333333,0.028867513459481315,15600.666666666666,633.2853490594373,0.0,0.0,3
gpt-4o,temporal,1,0.7037037037037037,0.2796234976026204,0.7037037037037037,0.2796234976026204,7369.333333333333,675.3734769246815,0.0,0.0,3
gpt-4o,temporal,2,0.6666666666666666,0.2081665999466133,0.6666666666666666,0.2081665999466133,8233.0,1843.5826534224063,0.0,0.0,3
gpt-4o,temporal,3,0.8333333333333334,0.2081665999466133,0.8333333333333334,0.2081665999466133,8938.0,369.97162053325115,0.0,0.0,3
gpt-4o,temporal,4,0.7666666666666667,0.2516611478423583,0.7666666666666667,0.2516611478423583,8950.333333333334,320.1020670557023,0.0,0.0,3
gpt-4o,weighted,1,1.0,0.0,1.0,0.0,4808.0,1224.9314266521208,0.0,0.0,3
gpt-4o,weighted,2,0.5333333333333333,0.05773502691896256,0.7377777777777778,0.04018475848894476,14102.333333333334,2000.6564755932823,0.0,0.0,3
gpt-4o,weighted,3,0.5,0.17320508075688773,0.6699074074074074,0.10159162885542267,36615.0,11911.447141300674,0.0,0.0,3
gpt-4o,weighted,4,0.5666666666666667,0.11547005383792512,0.6511111111111111,0.07812620369443085,68454.33333333333,11581.987581297664,0.0,0.0,3
