model,reasoning_type,complexity,mean_accuracy,std_accuracy,cv,n_runs
claude_sonnet_4_20250514,hierarchical,4,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
claude_sonnet_4_20250514,multihop,1,1.0,0.0,0.0,3
claude_sonnet_4_20250514,multihop,2,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
claude_sonnet_4_20250514,multihop,3,0.9,0.0,0.0,3
claude_sonnet_4_20250514,multihop,4,0.8000000000000002,0.10000000000000003,0.12500000000000003,3
claude_sonnet_4_20250514,temporal,1,0.8518518518518517,0.25660011963983365,0.30122622740328303,3
claude_sonnet_4_20250514,temporal,2,0.7666666666666666,0.23094010767585033,0.30122622740328303,3
claude_sonnet_4_20250514,temporal,3,0.8333333333333334,0.05773502691896256,0.06928203230275506,3
claude_sonnet_4_20250514,temporal,4,0.9,0.09999999999999998,0.11111111111111108,3
claude_sonnet_4_20250514,weighted,1,1.0,0.0,0.0,3
claude_sonnet_4_20250514,weighted,2,0.7333333333333334,0.11547005383792519,0.15745916432444343,3
claude_sonnet_4_20250514,weighted,3,0.6666666666666666,0.05773502691896257,0.08660254037844385,3
claude_sonnet_4_20250514,weighted,4,0.6666666666666666,0.05773502691896257,0.08660254037844385,3
claude_sonnet_4_5_20250929,conflicting,1,0.9333333333333332,0.11547005383792514,0.12371791482634838,3
claude_sonnet_4_5_20250929,conflicting,2,0.9,0.09999999999999998,0.11111111111111108,3
claude_sonnet_4_5_20250929,conflicting,3,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
claude_sonnet_4_5_20250929,conflicting,4,0.8333333333333334,0.1527525231651947,0.18330302779823363,3
claude_sonnet_4_5_20250929,hierarchical,1,1.0,0.0,0.0,3
claude_sonnet_4_5_20250929,hierarchical,2,1.0,0.0,0.0,3
claude_sonnet_4_5_20250929,hierarchical,3,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
claude_sonnet_4_5_20250929,hierarchical,4,1.0,0.0,0.0,3
claude_sonnet_4_5_20250929,multihop,1,1.0,0.0,0.0,3
claude_sonnet_4_5_20250929,multihop,2,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
claude_sonnet_4_5_20250929,multihop,3,0.8666666666666667,0.05773502691896256,0.06661733875264911,3
claude_sonnet_4_5_20250929,multihop,4,0.9,0.0,0.0,3
claude_sonnet_4_5_20250929,temporal,1,0.7777777777777777,0.3849001794597505,0.4948716593053936,3
claude_sonnet_4_5_20250929,temporal,2,0.7333333333333333,0.1527525231651947,0.2082988952252655,3
claude_sonnet_4_5_20250929,temporal,3,0.8666666666666667,0.11547005383792512,0.13323467750529822,3
claude_sonnet_4_5_20250929,temporal,4,0.9,0.09999999999999998,0.11111111111111108,3
claude_sonnet_4_5_20250929,weighted,1,1.0,0.0,0.0,3
claude_sonnet_4_5_20250929,weighted,2,0.7666666666666666,0.05773502691896263,0.07530655685082083,3
claude_sonnet_4_5_20250929,weighted,3,0.7333333333333334,0.11547005383792519,0.15745916432444343,3
claude_sonnet_4_5_20250929,weighted,4,0.7000000000000001,0.17320508075688776,0.24743582965269678,3
gemini_2_0_flash,conflicting,1,0.8000000000000002,1.3597399555105182e-16,1.6996749443881474e-16,3
gemini_2_0_flash,conflicting,2,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
gemini_2_0_flash,conflicting,3,0.7666666666666666,0.05773502691896263,0.07530655685082083,3
gemini_2_0_flash,conflicting,4,0.5,0.0,0.0,3
