model,reasoning_type,complexity,mean,ci_lower,ci_upper,ci_width,n_samples
gpt_4o,temporal,1,0.7142857142857143,0.5357142857142857,0.8928571428571429,0.3571428571428572,28
gpt_4o,temporal,2,0.6666666666666666,0.5,0.8333333333333334,0.33333333333333337,30
gpt_4o,temporal,3,0.8333333333333334,0.6666666666666666,0.9666666666666667,0.30000000000000004,30
gpt_4o,temporal,4,0.7666666666666667,0.6333333333333333,0.9,0.2666666666666667,30
gpt_4o,weighted,1,1.0,1.0,1.0,0.0,16
gpt_4o,weighted,2,0.7377777777777778,0.5710000000000001,0.8777777777777778,0.3067777777777777,30
gpt_4o,weighted,3,0.6699074074074074,0.5124768518518519,0.8157638888888888,0.30328703703703697,30
gpt_4o,weighted,4,0.6511111111111112,0.47994444444444445,0.8133888888888888,0.3334444444444444,30
gpt_5_2,conflicting,1,0.8,0.6333333333333333,0.9333333333333333,0.30000000000000004,30
gpt_5_2,conflicting,2,0.9666666666666667,0.9,1.0,0.09999999999999998,30
gpt_5_2,conflicting,3,0.8,0.6333333333333333,0.9333333333333333,0.30000000000000004,30
gpt_5_2,conflicting,4,0.7,0.5333333333333333,0.8333333333333334,0.30000000000000004,30
gpt_5_2,hierarchical,1,0.9375,0.8125,1.0,0.1875,16
gpt_5_2,hierarchical,2,0.9,0.7666666666666667,1.0,0.23333333333333328,30
gpt_5_2,hierarchical,3,0.9,0.8,1.0,0.19999999999999996,30
gpt_5_2,hierarchical,4,0.9666666666666667,0.9,1.0,0.09999999999999998,30
gpt_5_2,multihop,1,1.0,1.0,1.0,0.0,16
gpt_5_2,multihop,2,0.7833333333333333,0.6333333333333333,0.9333333333333333,0.30000000000000004,30
gpt_5_2,multihop,3,0.7333333333333333,0.5833333333333334,0.867083333333333,0.2837499999999996,30
gpt_5_2,multihop,4,0.6166666666666667,0.45,0.7833333333333333,0.3333333333333333,30
gpt_5_2,temporal,1,0.75,0.5714285714285714,0.8928571428571429,0.3214285714285715,28
gpt_5_2,temporal,2,0.8333333333333334,0.7,0.9666666666666667,0.2666666666666667,30
gpt_5_2,temporal,3,0.9277777777777778,0.8277777777777778,1.0,0.17222222222222217,30
gpt_5_2,temporal,4,0.9,0.8,1.0,0.19999999999999996,30
gpt_5_2,weighted,1,0.9375,0.8125,1.0,0.1875,16
gpt_5_2,weighted,2,0.6522222222222223,0.51,0.8,0.29000000000000004,30
gpt_5_2,weighted,3,0.625462962962963,0.4634143518518519,0.7819791666666668,0.31856481481481486,30
gpt_5_2,weighted,4,0.7755555555555557,0.6333333333333333,0.9066666666666666,0.2733333333333333,30
gpt_5_mini,conflicting,1,0.9,0.8,1.0,0.19999999999999996,30
gpt_5_mini,conflicting,2,0.9333333333333333,0.8333333333333334,1.0,0.16666666666666663,30
gpt_5_mini,conflicting,3,0.7666666666666667,0.6,0.9,0.30000000000000004,30
gpt_5_mini,conflicting,4,0.6333333333333333,0.4666666666666667,0.8,0.33333333333333337,30
gpt_5_mini,hierarchical,1,1.0,1.0,1.0,0.0,16
gpt_5_mini,hierarchical,2,0.9833333333333333,0.95,1.0,0.050000000000000044,30
gpt_5_mini,hierarchical,3,1.0,1.0,1.0,0.0,30
gpt_5_mini,hierarchical,4,1.0,1.0,1.0,0.0,30
